revid,timestamp,label,description,alias,action,language,property
10211357,2013-03-08T12:34:23Z,,de,,update,de,P210
10324303,2013-03-08T22:41:08Z,sr,,,update,sr,P210
27491538,2013-04-19T20:11:06Z,en,,,update,en,P210
27492557,2013-04-19T20:13:09Z,,en,,update,en,P210
27493275,2013-04-19T20:14:33Z,,en,,update,en,P210
27846236,2013-04-20T06:41:29Z,fr,,,update,fr,P210
27846579,2013-04-20T06:42:11Z,de,,,update,de,P210
27847001,2013-04-20T06:43:18Z,,fr,,update,fr,P210
28654741,2013-04-21T07:03:25Z,fa,,,update,fa,P210
32080831,2013-04-28T09:42:08Z,,fr,,update,fr,P210
34479431,2013-05-03T16:15:20Z,,fa,,update,fa,P210
35593676,2013-05-05T08:44:34Z,vi,,,update,vi,P210
35593906,2013-05-05T08:45:08Z,vi,,,update,vi,P210
35594149,2013-05-05T08:45:42Z,,,vi,add,vi,P210
40410431,2013-05-12T10:10:44Z,de,,,update,de,P210
40412629,2013-05-12T10:17:09Z,,de,,update,de,P210
40413281,2013-05-12T10:18:34Z,,de,,update,de,P210
40623025,2013-05-12T16:14:50Z,de,,,update,de,P210
43006244,2013-05-17T00:01:58Z,mk,,,update,mk,P210
43842672,2013-05-18T23:14:34Z,pl,,,update,pl,P210
47103062,2013-05-27T00:28:17Z,es,,,update,es,P210
47103113,2013-05-27T00:28:30Z,,,es,add,es,P210
52702005,2013-06-27T08:10:19Z,ms,,,update,ms,P210
52856018,2013-06-27T20:10:40Z,nl,,,update,nl,P210
53108745,2013-06-28T20:13:19Z,,,uk,add,uk,P210
53108994,2013-06-28T20:15:25Z,uk,,,update,uk,P210
53219139,2013-06-29T11:35:03Z,bs,,,update,bs,P210
54248653,2013-07-04T21:34:17Z,be,,,update,be,P210
54530157,2013-07-06T10:06:43Z,,ru,,update,ru,P210
70447989,2013-09-14T18:54:46Z,pt,,,add,pt,P210
70448008,2013-09-14T18:54:54Z,pt,,,update,pt,P210
70686553,2013-09-15T18:24:27Z,oc,,,add,oc,P210
70866015,2013-09-16T20:13:45Z,it,,,update,it,P210
70866193,2013-09-16T20:14:07Z,,,it,add,it,P210
70866333,2013-09-16T20:14:25Z,,,it,add,it,P210
70867051,2013-09-16T20:15:51Z,,it,,update,it,P210
91122052,2013-12-01T21:27:24Z,ta,,,add,ta,P210
91487238,2013-12-04T21:28:59Z,sco,,,add,sco,P210
114137831,2014-03-05T16:39:58Z,sv,,,add,sv,P210
114137912,2014-03-05T16:40:28Z,,sv,,add,sv,P210
116262756,2014-03-14T21:14:41Z,,en,,update,en,P210
116262831,2014-03-14T21:15:31Z,,fr,,update,fr,P210
116262994,2014-03-14T21:17:10Z,,,en,add,en,P210
120125410,2014-04-11T08:38:45Z,nl,,,update,nl,P210
122881195,2014-04-26T13:40:51Z,en-gb,,,add,en-gb,P210
122881221,2014-04-26T13:40:55Z,,en-gb,,add,en-gb,P210
139642343,2014-06-22T13:05:43Z,ia,,,add,ia,P210
140578236,2014-06-26T22:57:40Z,fi,,,update,fi,P210
140578256,2014-06-26T22:57:45Z,,fi,,update,fi,P210
157149787,2014-09-13T11:02:02Z,nb,,,add,nb,P210
157149943,2014-09-13T11:03:00Z,nb,,,update,nb,P210
160127493,2014-09-27T22:06:52Z,mk,,,update,mk,P210
169676052,2014-10-31T16:17:10Z,ja,,,add,ja,P210
174561998,2014-11-16T08:26:31Z,scn,,,add,scn,P210
174562177,2014-11-16T08:26:59Z,scn,,,update,scn,P210
174562389,2014-11-16T08:27:30Z,,,scn,add,scn,P210
174563205,2014-11-16T08:29:33Z,,scn,,add,scn,P210
174563573,2014-11-16T08:30:33Z,scn,,,update,scn,P210
174563858,2014-11-16T08:31:20Z,,scn,,update,scn,P210
174564117,2014-11-16T08:31:59Z,,,scn,update,scn,P210
224421233,2015-06-27T19:20:32Z,ru,,,update,ru,P210
227178496,2015-07-07T12:10:14Z,sr,,,update,sr,P210
253025638,2015-09-21T12:20:28Z,sr,,,update,sr,P210
